"title","company","location","description","required_skills","experience_level"
"Chef 14","Netflix","Remote","Professional role requiring: Fashion Sketching, Project Management, Cooking & Culinary Skills, Vocal Training, Web Development (HTML, CSS, JS).","Fashion Sketching, Project Management, Cooking & Culinary Skills, Vocal Training, Web Development (HTML, CSS, JS)","2+ Years"
"Fashion Designer 15","Starbucks","Remote","Professional role requiring: Database Management (SQL), UI/UX Design.","Database Management (SQL), UI/UX Design","1+ Years"
"Chef 16","Jio","Remote","Professional role requiring: Fashion Sketching, Database Management (SQL), UI/UX Design.","Fashion Sketching, Database Management (SQL), UI/UX Design","1+ Years"
"Software Developer 17","Zara","Remote","Professional role requiring: Fashion Sketching, Vocal Training.","Fashion Sketching, Vocal Training","5+ Years"
"Data Analyst 18","Tesla","Remote","Professional role requiring: Python Programming, Digital Marketing.","Python Programming, Digital Marketing","5+ Years"
"Software Developer 19","Netflix","Remote","Professional role requiring: Web Development (HTML, CSS, JS), Database Management (SQL).","Web Development (HTML, CSS, JS), Database Management (SQL)","2+ Years"
"Software Developer 20","Starbucks","Remote","Professional role requiring: Fashion Sketching, Project Management.","Fashion Sketching, Project Management","5+ Years"
"Chef 21","Tesla","Remote","Professional role requiring: Project Management, Python Programming, Fashion Sketching, UI/UX Design.","Project Management, Python Programming, Fashion Sketching, UI/UX Design","3+ Years"
"Digital Marketer 22","Jio","Remote","Professional role requiring: Web Development (HTML, CSS, JS), UI/UX Design, Database Management (SQL), Project Management.","Web Development (HTML, CSS, JS), UI/UX Design, Database Management (SQL), Project Management","2+ Years"
"Chef 23","Zara","Remote","Professional role requiring: Vocal Training, Web Development (HTML, CSS, JS), Python Programming.","Vocal Training, Web Development (HTML, CSS, JS), Python Programming","3+ Years"
"Chef 24","Google","Remote","Professional role requiring: UI/UX Design, Fashion Sketching, Digital Marketing, Database Management (SQL), Python Programming.","UI/UX Design, Fashion Sketching, Digital Marketing, Database Management (SQL), Python Programming","3+ Years"
"Chef 25","Tesla","Remote","Professional role requiring: Web Development (HTML, CSS, JS), Digital Marketing, Cooking & Culinary Skills, Database Management (SQL), Fashion Sketching.","Web Development (HTML, CSS, JS), Digital Marketing, Cooking & Culinary Skills, Database Management (SQL), Fashion Sketching","1+ Years"
"Digital Marketer 26","Netflix","Remote","Professional role requiring: UI/UX Design, Database Management (SQL), Machine Learning, Cooking & Culinary Skills.","UI/UX Design, Database Management (SQL), Machine Learning, Cooking & Culinary Skills","2+ Years"
"Digital Marketer 27","Google","Remote","Professional role requiring: Digital Marketing, Cooking & Culinary Skills, Python Programming, Database Management (SQL), Machine Learning.","Digital Marketing, Cooking & Culinary Skills, Python Programming, Database Management (SQL), Machine Learning","1+ Years"
"Fashion Designer 28","Microsoft","Remote","Professional role requiring: Web Development (HTML, CSS, JS), Python Programming, Fashion Sketching, Database Management (SQL).","Web Development (HTML, CSS, JS), Python Programming, Fashion Sketching, Database Management (SQL)","1+ Years"
"Chef 29","Netflix","Remote","Professional role requiring: Fashion Sketching, Web Development (HTML, CSS, JS), Project Management, UI/UX Design, Digital Marketing.","Fashion Sketching, Web Development (HTML, CSS, JS), Project Management, UI/UX Design, Digital Marketing","2+ Years"
"Data Analyst 30","Jio","Remote","Professional role requiring: Database Management (SQL), Web Development (HTML, CSS, JS), Machine Learning, Cooking & Culinary Skills.","Database Management (SQL), Web Development (HTML, CSS, JS), Machine Learning, Cooking & Culinary Skills","3+ Years"
"Data Analyst 31","Starbucks","Remote","Professional role requiring: Web Development (HTML, CSS, JS), UI/UX Design, Database Management (SQL), Python Programming, Project Management.","Web Development (HTML, CSS, JS), UI/UX Design, Database Management (SQL), Python Programming, Project Management","2+ Years"
"Chef 32","Starbucks","Remote","Professional role requiring: Python Programming, Database Management (SQL), Digital Marketing.","Python Programming, Database Management (SQL), Digital Marketing","3+ Years"
"Chef 33","Zara","Remote","Professional role requiring: Database Management (SQL), Project Management, Web Development (HTML, CSS, JS), Fashion Sketching, Cooking & Culinary Skills.","Database Management (SQL), Project Management, Web Development (HTML, CSS, JS), Fashion Sketching, Cooking & Culinary Skills","4+ Years"
"Chef 34","Jio","Remote","Professional role requiring: Python Programming, Project Management.","Python Programming, Project Management","5+ Years"
"Fashion Designer 35","Starbucks","Remote","Professional role requiring: UI/UX Design, Vocal Training, Digital Marketing, Python Programming.","UI/UX Design, Vocal Training, Digital Marketing, Python Programming","2+ Years"
"Digital Marketer 36","Starbucks","Remote","Professional role requiring: Database Management (SQL), Fashion Sketching, Digital Marketing.","Database Management (SQL), Fashion Sketching, Digital Marketing","5+ Years"
"Data Analyst 37","Microsoft","Remote","Professional role requiring: Project Management, UI/UX Design, Cooking & Culinary Skills, Digital Marketing, Web Development (HTML, CSS, JS).","Project Management, UI/UX Design, Cooking & Culinary Skills, Digital Marketing, Web Development (HTML, CSS, JS)","1+ Years"
"Software Developer 38","Zara","Remote","Professional role requiring: Digital Marketing, Project Management, Cooking & Culinary Skills, Machine Learning.","Digital Marketing, Project Management, Cooking & Culinary Skills, Machine Learning","1+ Years"
"Digital Marketer 39","Zara","Remote","Professional role requiring: Python Programming, Cooking & Culinary Skills, Machine Learning, Database Management (SQL), Digital Marketing.","Python Programming, Cooking & Culinary Skills, Machine Learning, Database Management (SQL), Digital Marketing","1+ Years"
"Chef 40","Microsoft","Remote","Professional role requiring: UI/UX Design, Vocal Training, Python Programming.","UI/UX Design, Vocal Training, Python Programming","4+ Years"
"Data Analyst 41","Jio","Remote","Professional role requiring: Digital Marketing, Cooking & Culinary Skills, Web Development (HTML, CSS, JS), Vocal Training.","Digital Marketing, Cooking & Culinary Skills, Web Development (HTML, CSS, JS), Vocal Training","2+ Years"
"Software Developer 42","Jio","Remote","Professional role requiring: UI/UX Design, Machine Learning, Python Programming.","UI/UX Design, Machine Learning, Python Programming","1+ Years"
"Software Developer 43","Tesla","Remote","Professional role requiring: Machine Learning, Web Development (HTML, CSS, JS), UI/UX Design, Digital Marketing.","Machine Learning, Web Development (HTML, CSS, JS), UI/UX Design, Digital Marketing","2+ Years"
"Chef 44","Google","Remote","Professional role requiring: UI/UX Design, Machine Learning, Web Development (HTML, CSS, JS).","UI/UX Design, Machine Learning, Web Development (HTML, CSS, JS)","1+ Years"
"Data Analyst 45","Zara","Remote","Professional role requiring: Python Programming, UI/UX Design, Vocal Training.","Python Programming, UI/UX Design, Vocal Training","4+ Years"
"Chef 46","Microsoft","Remote","Professional role requiring: Web Development (HTML, CSS, JS), Project Management.","Web Development (HTML, CSS, JS), Project Management","2+ Years"
"Chef 47","Netflix","Remote","Professional role requiring: UI/UX Design, Digital Marketing, Vocal Training.","UI/UX Design, Digital Marketing, Vocal Training","5+ Years"
"Software Developer 48","Jio","Remote","Professional role requiring: Cooking & Culinary Skills, Project Management.","Cooking & Culinary Skills, Project Management","2+ Years"
"Data Analyst 49","Microsoft","Remote","Professional role requiring: UI/UX Design, Machine Learning, Project Management, Web Development (HTML, CSS, JS).","UI/UX Design, Machine Learning, Project Management, Web Development (HTML, CSS, JS)","5+ Years"
"Data Analyst 50","Jio","Remote","Professional role requiring: Vocal Training, UI/UX Design, Web Development (HTML, CSS, JS), Project Management, Machine Learning.","Vocal Training, UI/UX Design, Web Development (HTML, CSS, JS), Project Management, Machine Learning","2+ Years"
"Digital Marketer 51","Jio","Remote","Professional role requiring: Digital Marketing, Python Programming.","Digital Marketing, Python Programming","4+ Years"
"Fashion Designer 52","Microsoft","Remote","Professional role requiring: Digital Marketing, Python Programming, Web Development (HTML, CSS, JS).","Digital Marketing, Python Programming, Web Development (HTML, CSS, JS)","2+ Years"
"Digital Marketer 53","Starbucks","Remote","Professional role requiring: Web Development (HTML, CSS, JS), Python Programming, Machine Learning, Vocal Training, Fashion Sketching.","Web Development (HTML, CSS, JS), Python Programming, Machine Learning, Vocal Training, Fashion Sketching","2+ Years"
"Software Developer 54","Microsoft","Remote","Professional role requiring: Cooking & Culinary Skills, Digital Marketing, UI/UX Design, Fashion Sketching, Python Programming.","Cooking & Culinary Skills, Digital Marketing, UI/UX Design, Fashion Sketching, Python Programming","2+ Years"
"Fashion Designer 55","Zara","Remote","Professional role requiring: Vocal Training, UI/UX Design, Fashion Sketching, Machine Learning, Project Management.","Vocal Training, UI/UX Design, Fashion Sketching, Machine Learning, Project Management","5+ Years"
"Data Analyst 56","Tesla","Remote","Professional role requiring: Project Management, Cooking & Culinary Skills, Web Development (HTML, CSS, JS).","Project Management, Cooking & Culinary Skills, Web Development (HTML, CSS, JS)","3+ Years"
"Data Analyst 57","Jio","Remote","Professional role requiring: Database Management (SQL), Python Programming, Web Development (HTML, CSS, JS), Digital Marketing.","Database Management (SQL), Python Programming, Web Development (HTML, CSS, JS), Digital Marketing","2+ Years"
"Fashion Designer 58","Starbucks","Remote","Professional role requiring: Vocal Training, Project Management, Fashion Sketching.","Vocal Training, Project Management, Fashion Sketching","4+ Years"
"Fashion Designer 59","Netflix","Remote","Professional role requiring: Python Programming, UI/UX Design.","Python Programming, UI/UX Design","4+ Years"
"Software Developer 60","Tesla","Remote","Professional role requiring: Digital Marketing, UI/UX Design, Cooking & Culinary Skills, Project Management, Fashion Sketching.","Digital Marketing, UI/UX Design, Cooking & Culinary Skills, Project Management, Fashion Sketching","4+ Years"
"Digital Marketer 61","Jio","Remote","Professional role requiring: UI/UX Design, Web Development (HTML, CSS, JS).","UI/UX Design, Web Development (HTML, CSS, JS)","2+ Years"
"Data Analyst 62","Jio","Remote","Professional role requiring: Vocal Training, Digital Marketing, Python Programming, Machine Learning, Fashion Sketching.","Vocal Training, Digital Marketing, Python Programming, Machine Learning, Fashion Sketching","5+ Years"
"Data Analyst 63","Jio","Remote","Professional role requiring: Vocal Training, Cooking & Culinary Skills, Web Development (HTML, CSS, JS), Machine Learning, Database Management (SQL).","Vocal Training, Cooking & Culinary Skills, Web Development (HTML, CSS, JS), Machine Learning, Database Management (SQL)","3+ Years"
"Fashion Designer 64","Google","Remote","Professional role requiring: UI/UX Design, Database Management (SQL).","UI/UX Design, Database Management (SQL)","3+ Years"
"Data Analyst 65","Jio","Remote","Professional role requiring: Fashion Sketching, UI/UX Design, Vocal Training.","Fashion Sketching, UI/UX Design, Vocal Training","1+ Years"
"Software Developer 66","Microsoft","Remote","Professional role requiring: Python Programming, Vocal Training, Web Development (HTML, CSS, JS), Fashion Sketching, Database Management (SQL).","Python Programming, Vocal Training, Web Development (HTML, CSS, JS), Fashion Sketching, Database Management (SQL)","4+ Years"
"Digital Marketer 67","Netflix","Remote","Professional role requiring: Vocal Training, Project Management.","Vocal Training, Project Management","2+ Years"
"Fashion Designer 68","Microsoft","Remote","Professional role requiring: Machine Learning, Vocal Training, Python Programming.","Machine Learning, Vocal Training, Python Programming","5+ Years"
"Fashion Designer 69","Microsoft","Remote","Professional role requiring: Digital Marketing, UI/UX Design, Vocal Training, Cooking & Culinary Skills, Machine Learning.","Digital Marketing, UI/UX Design, Vocal Training, Cooking & Culinary Skills, Machine Learning","5+ Years"
"Digital Marketer 70","Jio","Remote","Professional role requiring: Fashion Sketching, Project Management, Python Programming, Cooking & Culinary Skills, Digital Marketing.","Fashion Sketching, Project Management, Python Programming, Cooking & Culinary Skills, Digital Marketing","2+ Years"
"Chef 71","Google","Remote","Professional role requiring: Vocal Training, Python Programming.","Vocal Training, Python Programming","2+ Years"
"Digital Marketer 72","Zara","Remote","Professional role requiring: Cooking & Culinary Skills, Web Development (HTML, CSS, JS), Python Programming, Database Management (SQL), Machine Learning.","Cooking & Culinary Skills, Web Development (HTML, CSS, JS), Python Programming, Database Management (SQL), Machine Learning","4+ Years"
"Data Analyst 73","Jio","Remote","Professional role requiring: Python Programming, UI/UX Design, Vocal Training.","Python Programming, UI/UX Design, Vocal Training","3+ Years"
"Chef 74","Google","Remote","Professional role requiring: Python Programming, Cooking & Culinary Skills, Fashion Sketching, Web Development (HTML, CSS, JS).","Python Programming, Cooking & Culinary Skills, Fashion Sketching, Web Development (HTML, CSS, JS)","4+ Years"
"Data Analyst 75","Tesla","Remote","Professional role requiring: Cooking & Culinary Skills, Machine Learning, Database Management (SQL), Vocal Training, Project Management.","Cooking & Culinary Skills, Machine Learning, Database Management (SQL), Vocal Training, Project Management","1+ Years"
"Chef 76","Zara","Remote","Professional role requiring: Machine Learning, UI/UX Design, Python Programming.","Machine Learning, UI/UX Design, Python Programming","3+ Years"
"Digital Marketer 77","Google","Remote","Professional role requiring: Project Management, UI/UX Design.","Project Management, UI/UX Design","5+ Years"
"Chef 78","Google","Remote","Professional role requiring: Project Management, Machine Learning.","Project Management, Machine Learning","2+ Years"
"Data Analyst 79","Tesla","Remote","Professional role requiring: Digital Marketing, Database Management (SQL), Project Management, Fashion Sketching, Vocal Training.","Digital Marketing, Database Management (SQL), Project Management, Fashion Sketching, Vocal Training","4+ Years"
"Data Analyst 80","Zara","Remote","Professional role requiring: Web Development (HTML, CSS, JS), Database Management (SQL), Python Programming.","Web Development (HTML, CSS, JS), Database Management (SQL), Python Programming","3+ Years"
"Data Analyst 81","Microsoft","Remote","Professional role requiring: Fashion Sketching, Database Management (SQL), Vocal Training, Cooking & Culinary Skills.","Fashion Sketching, Database Management (SQL), Vocal Training, Cooking & Culinary Skills","5+ Years"
"Fashion Designer 82","Zara","Remote","Professional role requiring: Cooking & Culinary Skills, Python Programming.","Cooking & Culinary Skills, Python Programming","2+ Years"
"Digital Marketer 83","Google","Remote","Professional role requiring: Machine Learning, Project Management, Vocal Training.","Machine Learning, Project Management, Vocal Training","5+ Years"
"Software Developer 84","Google","Remote","Professional role requiring: UI/UX Design, Vocal Training, Web Development (HTML, CSS, JS).","UI/UX Design, Vocal Training, Web Development (HTML, CSS, JS)","3+ Years"
"Fashion Designer 85","Netflix","Remote","Professional role requiring: UI/UX Design, Web Development (HTML, CSS, JS).","UI/UX Design, Web Development (HTML, CSS, JS)","3+ Years"
"Fashion Designer 86","Zara","Remote","Professional role requiring: Digital Marketing, Web Development (HTML, CSS, JS).","Digital Marketing, Web Development (HTML, CSS, JS)","4+ Years"
"Chef 87","Jio","Remote","Professional role requiring: Cooking & Culinary Skills, UI/UX Design, Web Development (HTML, CSS, JS), Digital Marketing, Fashion Sketching.","Cooking & Culinary Skills, UI/UX Design, Web Development (HTML, CSS, JS), Digital Marketing, Fashion Sketching","5+ Years"
"Chef 88","Jio","Remote","Professional role requiring: Cooking & Culinary Skills, Python Programming, Project Management, Vocal Training.","Cooking & Culinary Skills, Python Programming, Project Management, Vocal Training","1+ Years"
"Chef 89","Google","Remote","Professional role requiring: Database Management (SQL), Python Programming.","Database Management (SQL), Python Programming","5+ Years"
"Chef 90","Google","Remote","Professional role requiring: Project Management, Database Management (SQL), Vocal Training.","Project Management, Database Management (SQL), Vocal Training","5+ Years"
"Chef 91","Jio","Remote","Professional role requiring: Vocal Training, Web Development (HTML, CSS, JS), Machine Learning.","Vocal Training, Web Development (HTML, CSS, JS), Machine Learning","1+ Years"
"Chef 92","Google","Remote","Professional role requiring: Vocal Training, Web Development (HTML, CSS, JS), Python Programming, UI/UX Design.","Vocal Training, Web Development (HTML, CSS, JS), Python Programming, UI/UX Design","2+ Years"
"Data Analyst 93","Netflix","Remote","Professional role requiring: UI/UX Design, Web Development (HTML, CSS, JS), Project Management, Machine Learning.","UI/UX Design, Web Development (HTML, CSS, JS), Project Management, Machine Learning","4+ Years"
"Software Developer 94","Starbucks","Remote","Professional role requiring: Digital Marketing, Database Management (SQL).","Digital Marketing, Database Management (SQL)","5+ Years"
"Fashion Designer 95","Tesla","Remote","Professional role requiring: UI/UX Design, Digital Marketing.","UI/UX Design, Digital Marketing","2+ Years"
"Fashion Designer 96","Netflix","Remote","Professional role requiring: Web Development (HTML, CSS, JS), Python Programming, Project Management, Fashion Sketching.","Web Development (HTML, CSS, JS), Python Programming, Project Management, Fashion Sketching","1+ Years"
"Fashion Designer 97","Microsoft","Remote","Professional role requiring: Fashion Sketching, Machine Learning, Digital Marketing.","Fashion Sketching, Machine Learning, Digital Marketing","4+ Years"
"Data Analyst 98","Google","Remote","Professional role requiring: Python Programming, UI/UX Design, Digital Marketing, Machine Learning, Project Management.","Python Programming, UI/UX Design, Digital Marketing, Machine Learning, Project Management","3+ Years"
"Data Analyst 99","Netflix","Remote","Professional role requiring: Fashion Sketching, Vocal Training, UI/UX Design, Web Development (HTML, CSS, JS), Cooking & Culinary Skills.","Fashion Sketching, Vocal Training, UI/UX Design, Web Development (HTML, CSS, JS), Cooking & Culinary Skills","2+ Years"
"Fashion Designer 100","Jio","Remote","Professional role requiring: Project Management, Digital Marketing, UI/UX Design, Fashion Sketching.","Project Management, Digital Marketing, UI/UX Design, Fashion Sketching","4+ Years"
"Data Analyst 101","Tesla","Remote","Professional role requiring: Digital Marketing, Project Management, Database Management (SQL).","Digital Marketing, Project Management, Database Management (SQL)","3+ Years"
"Fashion Designer 102","Jio","Remote","Professional role requiring: Digital Marketing, Project Management.","Digital Marketing, Project Management","5+ Years"
"Data Analyst 103","Microsoft","Remote","Professional role requiring: Fashion Sketching, Web Development (HTML, CSS, JS), Cooking & Culinary Skills, Python Programming.","Fashion Sketching, Web Development (HTML, CSS, JS), Cooking & Culinary Skills, Python Programming","5+ Years"
"Software Developer 104","Microsoft","Remote","Professional role requiring: Database Management (SQL), Python Programming, Vocal Training, Digital Marketing.","Database Management (SQL), Python Programming, Vocal Training, Digital Marketing","5+ Years"
"Data Analyst 105","Zara","Remote","Professional role requiring: UI/UX Design, Python Programming, Digital Marketing.","UI/UX Design, Python Programming, Digital Marketing","2+ Years"
"Fashion Designer 106","Zara","Remote","Professional role requiring: Machine Learning, Fashion Sketching, UI/UX Design, Cooking & Culinary Skills, Digital Marketing.","Machine Learning, Fashion Sketching, UI/UX Design, Cooking & Culinary Skills, Digital Marketing","2+ Years"
"Fashion Designer 107","Jio","Remote","Professional role requiring: Python Programming, Web Development (HTML, CSS, JS), Vocal Training, Project Management.","Python Programming, Web Development (HTML, CSS, JS), Vocal Training, Project Management","3+ Years"
"Chef 108","Google","Remote","Professional role requiring: UI/UX Design, Python Programming, Machine Learning.","UI/UX Design, Python Programming, Machine Learning","1+ Years"
"Digital Marketer 109","Google","Remote","Professional role requiring: Database Management (SQL), Vocal Training.","Database Management (SQL), Vocal Training","2+ Years"
"Data Analyst 110","Google","Remote","Professional role requiring: Fashion Sketching, Machine Learning, UI/UX Design, Digital Marketing.","Fashion Sketching, Machine Learning, UI/UX Design, Digital Marketing","4+ Years"
"Digital Marketer 111","Netflix","Remote","Professional role requiring: Python Programming, Machine Learning, Web Development (HTML, CSS, JS).","Python Programming, Machine Learning, Web Development (HTML, CSS, JS)","1+ Years"
"Software Developer 112","Starbucks","Remote","Professional role requiring: Vocal Training, Digital Marketing, Cooking & Culinary Skills, UI/UX Design.","Vocal Training, Digital Marketing, Cooking & Culinary Skills, UI/UX Design","2+ Years"
"Data Analyst 113","Zara","Remote","Professional role requiring: Machine Learning, Fashion Sketching.","Machine Learning, Fashion Sketching","3+ Years"
"Software Developer 114","Netflix","Remote","Professional role requiring: Digital Marketing, Python Programming, Fashion Sketching, UI/UX Design, Machine Learning.","Digital Marketing, Python Programming, Fashion Sketching, UI/UX Design, Machine Learning","3+ Years"
"Software Developer 115","Netflix","Remote","Professional role requiring: Machine Learning, Fashion Sketching, Digital Marketing.","Machine Learning, Fashion Sketching, Digital Marketing","3+ Years"
"Data Analyst 116","Starbucks","Remote","Professional role requiring: Python Programming, Machine Learning, UI/UX Design, Project Management.","Python Programming, Machine Learning, UI/UX Design, Project Management","5+ Years"
"Digital Marketer 117","Jio","Remote","Professional role requiring: Machine Learning, Python Programming.","Machine Learning, Python Programming","2+ Years"
"Software Developer 118","Tesla","Remote","Professional role requiring: Database Management (SQL), Digital Marketing, Vocal Training, Web Development (HTML, CSS, JS).","Database Management (SQL), Digital Marketing, Vocal Training, Web Development (HTML, CSS, JS)","3+ Years"
"Chef 119","Google","Remote","Professional role requiring: Cooking & Culinary Skills, Python Programming, Web Development (HTML, CSS, JS), Machine Learning.","Cooking & Culinary Skills, Python Programming, Web Development (HTML, CSS, JS), Machine Learning","4+ Years"
"Chef 120","Zara","Remote","Professional role requiring: Fashion Sketching, Digital Marketing.","Fashion Sketching, Digital Marketing","3+ Years"
"Data Analyst 121","Zara","Remote","Professional role requiring: Digital Marketing, Database Management (SQL), Project Management, UI/UX Design.","Digital Marketing, Database Management (SQL), Project Management, UI/UX Design","4+ Years"
"Digital Marketer 122","Netflix","Remote","Professional role requiring: Fashion Sketching, Database Management (SQL).","Fashion Sketching, Database Management (SQL)","3+ Years"
"Software Developer 123","Netflix","Remote","Professional role requiring: Fashion Sketching, Machine Learning, Vocal Training, Database Management (SQL), Project Management.","Fashion Sketching, Machine Learning, Vocal Training, Database Management (SQL), Project Management","2+ Years"
"Fashion Designer 124","Starbucks","Remote","Professional role requiring: Web Development (HTML, CSS, JS), Cooking & Culinary Skills, Machine Learning, Project Management, Vocal Training.","Web Development (HTML, CSS, JS), Cooking & Culinary Skills, Machine Learning, Project Management, Vocal Training","5+ Years"
"Chef 125","Netflix","Remote","Professional role requiring: Vocal Training, Cooking & Culinary Skills.","Vocal Training, Cooking & Culinary Skills","5+ Years"
"Data Analyst 126","Google","Remote","Professional role requiring: UI/UX Design, Database Management (SQL), Digital Marketing.","UI/UX Design, Database Management (SQL), Digital Marketing","1+ Years"
"Chef 127","Jio","Remote","Professional role requiring: Database Management (SQL), Fashion Sketching, UI/UX Design, Vocal Training.","Database Management (SQL), Fashion Sketching, UI/UX Design, Vocal Training","1+ Years"
"Chef 128","Jio","Remote","Professional role requiring: Web Development (HTML, CSS, JS), Project Management, Vocal Training.","Web Development (HTML, CSS, JS), Project Management, Vocal Training","2+ Years"
"Chef 129","Starbucks","Remote","Professional role requiring: Python Programming, Digital Marketing.","Python Programming, Digital Marketing","4+ Years"
"Chef 130","Google","Remote","Professional role requiring: Vocal Training, Fashion Sketching, Project Management, Cooking & Culinary Skills, Database Management (SQL).","Vocal Training, Fashion Sketching, Project Management, Cooking & Culinary Skills, Database Management (SQL)","3+ Years"
"Chef 131","Microsoft","Remote","Professional role requiring: Vocal Training, Project Management.","Vocal Training, Project Management","5+ Years"
"Software Developer 132","Netflix","Remote","Professional role requiring: Fashion Sketching, Digital Marketing, Cooking & Culinary Skills, Project Management, Web Development (HTML, CSS, JS).","Fashion Sketching, Digital Marketing, Cooking & Culinary Skills, Project Management, Web Development (HTML, CSS, JS)","3+ Years"
"Digital Marketer 133","Jio","Remote","Professional role requiring: Database Management (SQL), Vocal Training.","Database Management (SQL), Vocal Training","2+ Years"
"Chef 134","Google","Remote","Professional role requiring: UI/UX Design, Digital Marketing, Vocal Training, Cooking & Culinary Skills.","UI/UX Design, Digital Marketing, Vocal Training, Cooking & Culinary Skills","4+ Years"
"Data Analyst 135","Google","Remote","Professional role requiring: Python Programming, Cooking & Culinary Skills, Vocal Training, Machine Learning.","Python Programming, Cooking & Culinary Skills, Vocal Training, Machine Learning","1+ Years"
"Digital Marketer 136","Microsoft","Remote","Professional role requiring: Vocal Training, Web Development (HTML, CSS, JS), Machine Learning, UI/UX Design, Fashion Sketching.","Vocal Training, Web Development (HTML, CSS, JS), Machine Learning, UI/UX Design, Fashion Sketching","5+ Years"
"Software Developer 137","Jio","Remote","Professional role requiring: Digital Marketing, Python Programming, Web Development (HTML, CSS, JS), Cooking & Culinary Skills.","Digital Marketing, Python Programming, Web Development (HTML, CSS, JS), Cooking & Culinary Skills","4+ Years"
"Data Analyst 138","Zara","Remote","Professional role requiring: Digital Marketing, Vocal Training, UI/UX Design, Database Management (SQL).","Digital Marketing, Vocal Training, UI/UX Design, Database Management (SQL)","5+ Years"
"Chef 139","Microsoft","Remote","Professional role requiring: Project Management, Fashion Sketching, Digital Marketing.","Project Management, Fashion Sketching, Digital Marketing","1+ Years"
"Chef 140","Google","Remote","Professional role requiring: Fashion Sketching, Database Management (SQL).","Fashion Sketching, Database Management (SQL)","5+ Years"
"Digital Marketer 141","Microsoft","Remote","Professional role requiring: Vocal Training, Python Programming.","Vocal Training, Python Programming","5+ Years"
"Chef 142","Netflix","Remote","Professional role requiring: Cooking & Culinary Skills, Database Management (SQL), Machine Learning.","Cooking & Culinary Skills, Database Management (SQL), Machine Learning","4+ Years"
"Fashion Designer 143","Starbucks","Remote","Professional role requiring: Machine Learning, Python Programming.","Machine Learning, Python Programming","5+ Years"
"Digital Marketer 144","Jio","Remote","Professional role requiring: Cooking & Culinary Skills, Vocal Training, Project Management, Database Management (SQL).","Cooking & Culinary Skills, Vocal Training, Project Management, Database Management (SQL)","2+ Years"
"Data Analyst 145","Starbucks","Remote","Professional role requiring: Python Programming, Database Management (SQL), Vocal Training.","Python Programming, Database Management (SQL), Vocal Training","4+ Years"
"Data Analyst 146","Google","Remote","Professional role requiring: Web Development (HTML, CSS, JS), Python Programming.","Web Development (HTML, CSS, JS), Python Programming","2+ Years"
"Fashion Designer 147","Microsoft","Remote","Professional role requiring: Vocal Training, UI/UX Design, Machine Learning.","Vocal Training, UI/UX Design, Machine Learning","5+ Years"
